@id,@lat,@lon,surveillance:type,operator,direction
13517793302,41.7064145,-87.6815973,ALPR,,181
13522026962,41.8650740,-87.6195186,ALPR,,330
13522026963,41.8467690,-87.6266422,ALPR,,45
13522026964,41.8454771,-87.6269963,ALPR,,180
13522026966,41.8696363,-87.6393563,ALPR,,180
13522026967,41.8673052,-87.6323638,ALPR,,90
13522026968,41.8674377,-87.6307054,ALPR,,270
13522026969,41.8577858,-87.6240064,ALPR,,180
13522026970,41.8640314,-87.6242489,ALPR,,140
13522026971,41.8642018,-87.6239069,ALPR,,320
13522026973,41.8724051,-87.6569432,ALPR,,45
13530531701,41.9242212,-87.6682276,ALPR,,175
13565796901,41.7062413,-87.7006141,ALPR,,258
13567195024,41.9583668,-87.9326916,ALPR,,45
13567195025,41.9254235,-87.6725062,ALPR,,310
13568050501,41.8087725,-87.6823526,ALPR,,227
13577428526,41.9039414,-87.6970053,ALPR,,20
13580413703,41.8892902,-87.6267259,ALPR,,90
13580413704,41.8941849,-87.6153486,ALPR,,150
13580413705,41.8932908,-87.6228479,ALPR,,300
13580413706,41.8820223,-87.6205468,ALPR,,20
13580413707,41.8821119,-87.6206964,ALPR,,340
13580413708,41.8649271,-87.6196049,ALPR,,190
13580413709,41.8650074,-87.6195409,ALPR,,110
13580413710,41.8930414,-87.6145324,ALPR,,150
13582746001,41.7060021,-87.7160411,ALPR,,246
13582747001,41.7059748,-87.7159839,ALPR,,76
13594163801,41.9627565,-87.8810237,ALPR,,290
13599708201,41.9759308,-87.8859284,ALPR,,335-45
13599708801,41.9759245,-87.8858374,ALPR,,9
13606435902,41.9860780,-87.8816009,ALPR,,55
13613410001,41.6916972,-87.6982507,ALPR,,262
13619331170,41.8218630,-87.7443414,ALPR,,55
13621636101,41.9761203,-87.8878635,ALPR,,286
13621639701,41.9761844,-87.8878427,ALPR,,289
13629041557,41.9128511,-87.7433271,ALPR,Chicago Police Department,120
13629041558,41.9128315,-87.7433418,ALPR,Chicago Police Department,120
13629140535,41.9467172,-87.6981799,ALPR,Chicago Police Department,265
13660363140,41.8660591,-87.7641795,ALPR,,340
13670543620,41.8948476,-87.7556641,ALPR,,180
13670543621,41.8950896,-87.7555527,ALPR,,0
13670576240,41.9061088,-87.7264534,ALPR,,180
13670576241,41.9062757,-87.7263882,ALPR,,0
13670584017,41.9242839,-87.7537484,ALPR,,270
13673313902,41.7366738,-87.6292940,ALPR,,104
13680773584,41.8703165,-87.7352409,ALPR,,245
13680797371,41.8369987,-87.7242800,ALPR,,355
13680826114,41.8770808,-87.7353016,ALPR,,0
13680850401,41.8802670,-87.7746067,ALPR,,0
13687007701,41.7421103,-87.6303263,ALPR,,0
13687262401,41.7374069,-87.5524610,ALPR,,262
13689618201,41.7373278,-87.6293203,ALPR,,95
13689625501,41.7373232,-87.6303061,ALPR,,180
13689626501,41.7366315,-87.6303011,ALPR,,173
13689659002,41.7373175,-87.6297525,ALPR,,160
13699872096,41.8738753,-87.7354864,ALPR,,220
13715206047,41.8847689,-87.7110490,ALPR,,340
13715206048,41.8847434,-87.7112701,ALPR,,255
13715206050,41.8845318,-87.7111823,ALPR,,180
13715206051,41.8845573,-87.7109677,ALPR,,80
